
2021-01-19T21:09:08.276721,20,oximeter,detected
2021-01-19T21:09:08.277004,20,oximeter,persisted
2021-01-19T21:09:08.476565,20,ecg,processed
2021-01-19T21:09:08.476565,20,ecg,processed
2021-01-19T21:09:08.476791,20,ecg,detected
2021-01-19T21:09:08.477204,20,ecg,persisted
2021-01-19T21:09:08.676959,20,ecg,persisted
2021-01-19T21:09:08.876723,20,thermometer,processed
2021-01-19T21:09:08.876723,20,thermometer,processed
2021-01-19T21:09:08.876910,20,thermometer,detected
2021-01-19T21:09:08.877461,20,thermometer,persisted
2021-01-19T21:09:09.077174,20,thermometer,persisted
2021-01-19T21:09:09.276882,21,oximeter,processed
2021-01-19T21:09:09.276882,21,oximeter,processed
2021-01-19T21:09:09.277097,21,oximeter,detected
2021-01-19T21:09:09.280785,21,oximeter,persisted
2021-01-19T21:09:09.476964,21,ecg,processed
2021-01-19T21:09:09.476964,21,ecg,processed
2021-01-19T21:09:09.477165,21,ecg,detected
2021-01-19T21:09:09.477623,21,ecg,persisted
2021-01-19T21:09:09.677315,21,ecg,persisted
2021-01-19T21:09:09.877116,21,thermometer,processed
2021-01-19T21:09:09.877116,21,thermometer,processed
2021-01-19T21:09:09.877337,21,thermometer,detected
2021-01-19T21:09:09.877763,21,thermometer,persisted
2021-01-19T21:09:10.077593,21,thermometer,persisted
2021-01-19T21:09:10.277300,22,oximeter,processed
2021-01-19T21:09:10.277300,22,oximeter,processed
2021-01-19T21:09:10.277519,22,oximeter,detected
2021-01-19T21:09:10.277896,22,oximeter,persisted
2021-01-19T21:09:10.477713,22,oximeter,persisted
2021-01-19T21:09:10.677713,22,oximeter,persisted
2021-01-19T21:09:10.877955,22,oximeter,persisted
2021-01-19T21:09:11.077988,22,oximeter,persisted
2021-01-19T21:09:11.277734,23,oximeter,processed
2021-01-19T21:09:11.277734,23,oximeter,processed
2021-01-19T21:09:11.277968,23,oximeter,detected
2021-01-19T21:09:11.278343,23,oximeter,persisted
2021-01-19T21:09:11.477795,23,ecg,processed
2021-01-19T21:09:11.477795,23,ecg,processed
2021-01-19T21:09:11.478023,23,ecg,detected
2021-01-19T21:09:11.478435,23,ecg,persisted
2021-01-19T21:09:11.678111,23,ecg,persisted
2021-01-19T21:09:11.878448,23,ecg,persisted
2021-01-19T21:09:12.078551,23,ecg,persisted
2021-01-19T21:09:12.278163,24,oximeter,processed
2021-01-19T21:09:12.278163,24,oximeter,processed
2021-01-19T21:09:12.278396,24,oximeter,detected
2021-01-19T21:09:12.278852,24,oximeter,persisted
2021-01-19T21:09:12.478261,24,ecg,processed
2021-01-19T21:09:12.478261,24,ecg,processed
2021-01-19T21:09:12.478496,24,ecg,detected
2021-01-19T21:09:12.478746,24,ecg,persisted
2021-01-19T21:09:12.678691,24,ecg,persisted
2021-01-19T21:09:12.878752,24,ecg,persisted
2021-01-19T21:09:13.078889,24,ecg,persisted
2021-01-19T21:09:13.278569,25,oximeter,processed
2021-01-19T21:09:13.278569,25,oximeter,processed
2021-01-19T21:09:13.278752,25,oximeter,detected
2021-01-19T21:09:13.279003,25,oximeter,persisted
2021-01-19T21:09:13.478889,25,oximeter,persisted
2021-01-19T21:09:13.679024,25,oximeter,persisted
2021-01-19T21:09:13.879104,25,oximeter,persisted
2021-01-19T21:09:14.079262,25,oximeter,persisted
2021-01-19T21:09:14.279271,25,oximeter,persisted
2021-01-19T21:09:14.479313,25,oximeter,persisted
2021-01-19T21:09:14.679581,25,oximeter,persisted
2021-01-19T21:09:14.879681,25,oximeter,persisted
2021-01-19T21:09:15.079615,25,oximeter,persisted
2021-01-19T21:09:15.279782,25,oximeter,persisted
2021-01-19T21:09:15.479783,25,oximeter,persisted
2021-01-19T21:09:15.679958,25,oximeter,persisted
2021-01-19T21:09:15.880156,25,oximeter,persisted
2021-01-19T21:09:16.080133,25,oximeter,persisted
2021-01-19T21:09:16.280283,25,oximeter,persisted
2021-01-19T21:09:16.480144,25,oximeter,persisted
2021-01-19T21:09:16.680425,25,oximeter,persisted
2021-01-19T21:09:16.880471,25,oximeter,persisted
2021-01-19T21:09:17.080593,25,oximeter,persisted
2021-01-19T21:09:17.280680,25,oximeter,persisted
2021-01-19T21:09:17.480584,25,oximeter,persisted
2021-01-19T21:09:17.680876,25,oximeter,persisted
2021-01-19T21:09:17.880927,25,oximeter,persisted
2021-01-19T21:09:18.081075,25,oximeter,persisted
2021-01-19T21:09:18.280997,25,oximeter,persisted
2021-01-19T21:09:18.481160,25,oximeter,persisted
2021-01-19T21:09:18.681136,25,oximeter,persisted
2021-01-19T21:09:18.881344,25,oximeter,persisted
2021-01-19T21:09:19.081595,25,oximeter,persisted
2021-01-19T21:09:19.281511,25,oximeter,persisted
2021-01-19T21:09:19.481482,25,oximeter,persisted
2021-01-19T21:09:19.681681,25,oximeter,persisted
2021-01-19T21:09:19.881740,25,oximeter,persisted
2021-01-19T21:09:20.081896,25,oximeter,persisted
2021-01-19T21:09:20.281961,25,oximeter,persisted
2021-01-19T21:09:20.481821,25,oximeter,persisted
2021-01-19T21:09:20.681984,25,oximeter,persisted
2021-01-19T21:09:20.882009,25,oximeter,persisted
2021-01-19T21:09:21.082134,25,oximeter,persisted
2021-01-19T21:09:21.282225,25,oximeter,persisted
2021-01-19T21:09:21.482333,25,oximeter,persisted
2021-01-19T21:09:21.682379,25,oximeter,persisted
2021-01-19T21:09:21.882206,25,thermometer,processed
2021-01-19T21:09:21.882206,25,thermometer,processed
2021-01-19T21:09:21.882422,25,thermometer,detected
2021-01-19T21:09:21.882710,25,thermometer,persisted
2021-01-19T21:09:22.082616,25,thermometer,persisted
2021-01-19T21:09:22.282596,25,thermometer,persisted
2021-01-19T21:09:22.482812,25,thermometer,persisted
2021-01-19T21:09:22.682938,25,thermometer,persisted
